evt_time,syscall_type,container_mounts,proc_args,proc_nthreads,proc_nchilds,proc_fdopencount,proc_vmsize,evt_args
00:58:19.531143486,poll,/:/host:rw:true:rslave,app.py,2,1,6,149800,res=0 fds=
00:58:19.531197873,poll,/:/host:rw:true:rslave,app.py,2,1,6,149800,fds=3:41 timeout=500
00:58:20.032246247,poll,/:/host:rw:true:rslave,app.py,2,1,6,149800,res=0 fds=
00:58:20.032299545,poll,/:/host:rw:true:rslave,app.py,2,1,6,149800,fds=3:41 timeout=500
00:58:20.035266667,recvmsg,/:/host:rw:true:rslave,-c 4 127.0.0.1,1,0,4,6536,res=-11(EAGAIN) size=192 data=NULL tuple=NULL
00:58:20.035280352,sendmsg,/:/host:rw:true:rslave,-c 4 127.0.0.1,1,0,4,6536,fd=3(<4r>0.0.0.0:1) size=64 tuple=0.0.0.0:1->127.0.0.1:0
00:58:20.035341083,sendmsg,/:/host:rw:true:rslave,-c 4 127.0.0.1,1,0,4,6536,res=64 data=...1....T..c............................ !#$%&'()*+
00:58:20.035343828,recvmsg,/:/host:rw:true:rslave,-c 4 127.0.0.1,1,0,4,6536,fd=3(<4r>127.0.0.1->127.0.0.1)
00:58:20.035348587,recvmsg,/:/host:rw:true:rslave,-c 4 127.0.0.1,1,0,4,6536,res=84 size=84 data=E..T....@..............1....T..c............................ !#$%&'()*+
00:58:20.035364586,write,/:/host:rw:true:rslave,-c 4 127.0.0.1,1,0,4,6536,fd=1(<p>pipe:[27774]) size=57
00:58:20.035414136,write,/:/host:rw:true:rslave,-c 4 127.0.0.1,1,0,4,6536,res=57 data=64 bytes from 127.0.0.1: icmp_seq=2 ttl=64 time=0.053 ms.
00:58:20.035419896,recvmsg,/:/host:rw:true:rslave,-c 4 127.0.0.1,1,0,4,6536,fd=3(<4r>127.0.0.1->127.0.0.1)
00:58:20.035500150,read,/:/host:rw:true:rslave,app.py,2,0,6,149800,res=57 data=64 bytes from 127.0.0.1: icmp_seq=2 ttl=64 time=0.053 ms.
00:58:20.035506732,read,/:/host:rw:true:rslave,app.py,2,0,6,149800,fd=5(<p>pipe:[27774]) size=8029
00:58:20.533032320,poll,/:/host:rw:true:rslave,app.py,2,1,6,149800,res=0 fds=
00:58:20.533087090,poll,/:/host:rw:true:rslave,app.py,2,1,6,149800,fds=3:41 timeout=500
00:58:21.034098062,poll,/:/host:rw:true:rslave,app.py,2,1,6,149800,res=0 fds=
00:58:21.034146510,poll,/:/host:rw:true:rslave,app.py,2,1,6,149800,fds=3:41 timeout=500
00:58:21.035159578,recvmsg,/:/host:rw:true:rslave,-c 4 127.0.0.1,1,0,4,6536,res=-11(EAGAIN) size=192 data=NULL tuple=NULL
00:58:21.035175217,sendmsg,/:/host:rw:true:rslave,-c 4 127.0.0.1,1,0,4,6536,fd=3(<4r>127.0.0.1->127.0.0.1) size=64 tuple=0.0.0.0:1->127.0.0.1:0
00:58:21.035254130,sendmsg,/:/host:rw:true:rslave,-c 4 127.0.0.1,1,0,4,6536,res=64 data=...0....U..c....d....................... !#$%&'()*+
