evt_time,syscall_type,container_mounts,proc_args,proc_nthreads,proc_nchilds,proc_fdopencount,proc_vmsize,evt_args
06:54:54.321933693,poll,/:/host:rw:true:rslave,app.py,2,1,6,149732,res=0 fds=
06:54:54.322009802,poll,/:/host:rw:true:rslave,app.py,2,1,6,149732,fds=3:41 timeout=500
06:54:54.822977026,poll,/:/host:rw:true:rslave,app.py,2,1,6,149732,res=0 fds=
06:54:54.823755218,poll,/:/host:rw:true:rslave,app.py,2,1,6,149732,fds=3:41 timeout=500
06:54:54.827141413,recvmsg,/:/host:rw:true:rslave,-c 4 127.0.0.1,1,0,4,6536,res=-11(EAGAIN) size=192 data=NULL tuple=NULL
06:54:54.827303525,sched_yield,/:/host:rw:true:rslave,-c 4 127.0.0.1,1,0,4,6536,
06:54:54.827384495,sched_yield,/:/host:rw:true:rslave,-c 4 127.0.0.1,1,0,4,6536,
06:54:54.827432867,recvmsg,/:/host:rw:true:rslave,-c 4 127.0.0.1,1,0,4,6536,fd=3(<4r>0.0.0.0:1)
06:54:54.827529495,recvmsg,/:/host:rw:true:rslave,-c 4 127.0.0.1,1,0,4,6536,res=-11(EAGAIN) size=192 data=NULL tuple=NULL
06:54:54.827594599,sendmsg,/:/host:rw:true:rslave,-c 4 127.0.0.1,1,0,4,6536,fd=3(<4r>0.0.0.0:1) size=64 tuple=0.0.0.0:1->127.0.0.1:0
06:54:54.828146608,sendmsg,/:/host:rw:true:rslave,-c 4 127.0.0.1,1,0,4,6536,res=64 data=.........S.c............................ !#$%&'()*+
06:54:54.828203737,recvmsg,/:/host:rw:true:rslave,-c 4 127.0.0.1,1,0,4,6536,fd=3(<4r>127.0.0.1->127.0.0.1)
06:54:54.828272831,recvmsg,/:/host:rw:true:rslave,-c 4 127.0.0.1,1,0,4,6536,res=84 size=84 data=E..Tj...@....................S.c............................ !#$%&'()*+
06:54:54.828400905,write,/:/host:rw:true:rslave,-c 4 127.0.0.1,1,0,4,6536,fd=1(<p>pipe:[26731]) size=57
06:54:54.828613045,write,/:/host:rw:true:rslave,-c 4 127.0.0.1,1,0,4,6536,res=57 data=64 bytes from 127.0.0.1: icmp_seq=2 ttl=64 time=0.559 ms.
06:54:54.828637944,read,/:/host:rw:true:rslave,app.py,2,0,6,149732,res=57 data=64 bytes from 127.0.0.1: icmp_seq=2 ttl=64 time=0.559 ms.
06:54:54.828642783,read,/:/host:rw:true:rslave,app.py,2,0,6,149732,fd=5(<p>pipe:[26731]) size=8029
06:54:54.828770415,poll,/:/host:rw:true:rslave,-c 4 127.0.0.1,1,0,4,6536,fds=3:411 timeout=999
06:54:55.324537612,poll,/:/host:rw:true:rslave,app.py,2,1,6,149732,res=0 fds=
06:54:55.324642713,poll,/:/host:rw:true:rslave,app.py,2,1,6,149732,fds=3:41 timeout=500
06:54:55.825233316,poll,/:/host:rw:true:rslave,app.py,2,1,6,149732,res=0 fds=
06:54:55.825269412,poll,/:/host:rw:true:rslave,app.py,2,1,6,149732,fds=3:41 timeout=500
06:54:55.828810326,poll,/:/host:rw:true:rslave,-c 4 127.0.0.1,1,0,4,6536,res=0 fds=
06:54:55.828817679,sendmsg,/:/host:rw:true:rslave,-c 4 127.0.0.1,1,0,4,6536,fd=3(<4r>127.0.0.1->127.0.0.1) size=64 tuple=0.0.0.0:1->127.0.0.1:0
06:54:55.828861179,sendmsg,/:/host:rw:true:rslave,-c 4 127.0.0.1,1,0,4,6536,res=64 data=..+......S.c............................ !#$%&'()*+
