evt_time,syscall_type,container_mounts,proc_args,proc_nthreads,proc_nchilds,proc_fdopencount,proc_vmsize,evt_args
17:33:15.490182958,poll,/:/host:rw:true:rslave,app.py,2,1,6,149804,res=0 fds=
17:33:15.490295052,poll,/:/host:rw:true:rslave,app.py,2,1,6,149804,fds=3:41 timeout=500
17:33:15.991747896,poll,/:/host:rw:true:rslave,app.py,2,1,6,149804,res=0 fds=
17:33:15.991836177,poll,/:/host:rw:true:rslave,app.py,2,1,6,149804,fds=3:41 timeout=500
17:33:15.998353974,recvmsg,/:/host:rw:true:rslave,-c 4 127.0.0.1,1,0,4,6536,res=-11(EAGAIN) size=192 data=NULL tuple=NULL
17:33:15.998366828,sendmsg,/:/host:rw:true:rslave,-c 4 127.0.0.1,1,0,4,6536,fd=3(<4r>0.0.0.0:1) size=64 tuple=0.0.0.0:1->127.0.0.1:0
17:33:15.998566862,sendmsg,/:/host:rw:true:rslave,-c 4 127.0.0.1,1,0,4,6536,res=64 data=..T.......tc.....;...................... !#$%&'()*+
17:33:15.998570959,recvmsg,/:/host:rw:true:rslave,-c 4 127.0.0.1,1,0,4,6536,fd=3(<4r>127.0.0.1->127.0.0.1)
17:33:15.998577201,recvmsg,/:/host:rw:true:rslave,-c 4 127.0.0.1,1,0,4,6536,res=84 size=84 data=E..T....@.............\.......tc.....;...................... !#$%&'()*+
17:33:15.998591878,write,/:/host:rw:true:rslave,-c 4 127.0.0.1,1,0,4,6536,fd=1(<p>pipe:[25416]) size=57
17:33:15.998643521,write,/:/host:rw:true:rslave,-c 4 127.0.0.1,1,0,4,6536,res=57 data=64 bytes from 127.0.0.1: icmp_seq=2 ttl=64 time=0.192 ms.
17:33:15.998649332,recvmsg,/:/host:rw:true:rslave,-c 4 127.0.0.1,1,0,4,6536,fd=3(<4r>127.0.0.1->127.0.0.1)
17:33:15.998715192,read,/:/host:rw:true:rslave,app.py,2,0,6,149804,res=57 data=64 bytes from 127.0.0.1: icmp_seq=2 ttl=64 time=0.192 ms.
17:33:15.998725961,read,/:/host:rw:true:rslave,app.py,2,0,6,149804,fd=5(<p>pipe:[25416]) size=8029
17:33:16.492947177,poll,/:/host:rw:true:rslave,app.py,2,1,6,149804,res=0 fds=
17:33:16.493013588,poll,/:/host:rw:true:rslave,app.py,2,1,6,149804,fds=3:41 timeout=500
17:33:16.993404375,poll,/:/host:rw:true:rslave,app.py,2,1,6,149804,res=0 fds=
17:33:16.993458113,poll,/:/host:rw:true:rslave,app.py,2,1,6,149804,fds=3:41 timeout=500
17:33:16.997348945,recvmsg,/:/host:rw:true:rslave,-c 4 127.0.0.1,1,0,4,6536,res=-11(EAGAIN) size=192 data=NULL tuple=NULL
17:33:16.997362029,sched_yield,/:/host:rw:true:rslave,-c 4 127.0.0.1,1,0,4,6536,
17:33:16.997365505,sched_yield,/:/host:rw:true:rslave,-c 4 127.0.0.1,1,0,4,6536,
17:33:16.997366577,recvmsg,/:/host:rw:true:rslave,-c 4 127.0.0.1,1,0,4,6536,fd=3(<4r>127.0.0.1->127.0.0.1)
17:33:16.997372558,recvmsg,/:/host:rw:true:rslave,-c 4 127.0.0.1,1,0,4,6536,res=-11(EAGAIN) size=192 data=NULL tuple=NULL
17:33:16.997375002,sendmsg,/:/host:rw:true:rslave,-c 4 127.0.0.1,1,0,4,6536,fd=3(<4r>127.0.0.1->127.0.0.1) size=64 tuple=0.0.0.0:1->127.0.0.1:0
17:33:16.997416188,sendmsg,/:/host:rw:true:rslave,-c 4 127.0.0.1,1,0,4,6536,res=64 data=..2.......tc.....7...................... !#$%&'()*+
17:33:16.997417590,recvmsg,/:/host:rw:true:rslave,-c 4 127.0.0.1,1,0,4,6536,fd=3(<4r>127.0.0.1->127.0.0.1)
17:33:16.997420742,recvmsg,/:/host:rw:true:rslave,-c 4 127.0.0.1,1,0,4,6536,res=84 size=84 data=E..T....@.............:.......tc.....7...................... !#$%&'()*+
17:33:16.997431375,write,/:/host:rw:true:rslave,-c 4 127.0.0.1,1,0,4,6536,fd=1(<p>pipe:[25416]) size=57
17:33:16.997461351,write,/:/host:rw:true:rslave,-c 4 127.0.0.1,1,0,4,6536,res=57 data=64 bytes from 127.0.0.1: icmp_seq=3 ttl=64 time=0.036 ms.
17:33:16.997464570,recvmsg,/:/host:rw:true:rslave,-c 4 127.0.0.1,1,0,4,6536,fd=3(<4r>127.0.0.1->127.0.0.1)
17:33:16.997513579,read,/:/host:rw:true:rslave,app.py,2,0,6,149804,res=57 data=64 bytes from 127.0.0.1: icmp_seq=3 ttl=64 time=0.036 ms.
17:33:16.997527644,read,/:/host:rw:true:rslave,app.py,2,0,6,149804,fd=5(<p>pipe:[25416]) size=7972
17:33:17.494133962,poll,/:/host:rw:true:rslave,app.py,2,1,6,149804,res=0 fds=
17:33:17.494187970,poll,/:/host:rw:true:rslave,app.py,2,1,6,149804,fds=3:41 timeout=500
17:33:17.995278348,poll,/:/host:rw:true:rslave,app.py,2,1,6,149804,res=0 fds=
17:33:17.995376719,poll,/:/host:rw:true:rslave,app.py,2,1,6,149804,fds=3:41 timeout=500
17:33:17.999992557,recvmsg,/:/host:rw:true:rslave,-c 4 127.0.0.1,1,0,4,6536,res=-11(EAGAIN) size=192 data=NULL tuple=NULL
17:33:18.000002055,sendmsg,/:/host:rw:true:rslave,-c 4 127.0.0.1,1,0,4,6536,fd=3(<4r>127.0.0.1->127.0.0.1) size=64 tuple=0.0.0.0:1->127.0.0.1:0
17:33:18.000044492,sendmsg,/:/host:rw:true:rslave,-c 4 127.0.0.1,1,0,4,6536,res=64 data=..<.......tc............................ !#$%&'()*+
17:33:18.000095068,setitimer,/:/host:rw:true:rslave,-c 4 127.0.0.1,1,0,4,6536,
17:33:18.000165506,setitimer,/:/host:rw:true:rslave,-c 4 127.0.0.1,1,0,4,6536,
17:33:18.000166718,recvmsg,/:/host:rw:true:rslave,-c 4 127.0.0.1,1,0,4,6536,fd=3(<4r>127.0.0.1->127.0.0.1)
