evt_time,syscall_type,container_mounts,proc_args,proc_nthreads,proc_nchilds,proc_fdopencount,proc_vmsize,evt_args
01:03:48.380029721,poll,/:/host:rw:true:rslave,app.py,2,1,6,149732,res=0 fds=
01:03:48.380088699,poll,/:/host:rw:true:rslave,app.py,2,1,6,149732,fds=3:41 timeout=500
01:03:48.880696464,poll,/:/host:rw:true:rslave,app.py,2,1,6,149732,res=0 fds=
01:03:48.880759259,poll,/:/host:rw:true:rslave,app.py,2,1,6,149732,fds=3:41 timeout=500
01:03:48.884961655,recvmsg,/:/host:rw:true:rslave,-c 4 127.0.0.1,1,0,4,6536,res=-11(EAGAIN) size=192 data=NULL tuple=NULL
01:03:48.884972635,sendmsg,/:/host:rw:true:rslave,-c 4 127.0.0.1,1,0,4,6536,fd=3(<4r>0.0.0.0:1) size=64 tuple=0.0.0.0:1->127.0.0.1:0
01:03:48.885020742,sendmsg,/:/host:rw:true:rslave,-c 4 127.0.0.1,1,0,4,6536,res=64 data=...:.......c............................ !#$%&'()*+
01:03:48.885022816,recvmsg,/:/host:rw:true:rslave,-c 4 127.0.0.1,1,0,4,6536,fd=3(<4r>127.0.0.1->127.0.0.1)
01:03:48.885026963,recvmsg,/:/host:rw:true:rslave,-c 4 127.0.0.1,1,0,4,6536,res=84 size=84 data=E..T....@.............$:.......c............................ !#$%&'()*+
01:03:48.885038214,write,/:/host:rw:true:rslave,-c 4 127.0.0.1,1,0,4,6536,fd=1(<p>pipe:[25319]) size=57
01:03:48.885049795,write,/:/host:rw:true:rslave,-c 4 127.0.0.1,1,0,4,6536,res=57 data=64 bytes from 127.0.0.1: icmp_seq=2 ttl=64 time=0.043 ms.
01:03:48.885052590,recvmsg,/:/host:rw:true:rslave,-c 4 127.0.0.1,1,0,4,6536,fd=3(<4r>127.0.0.1->127.0.0.1)
01:03:48.885061837,read,/:/host:rw:true:rslave,app.py,2,0,6,149732,res=57 data=64 bytes from 127.0.0.1: icmp_seq=2 ttl=64 time=0.043 ms.
01:03:48.885068469,read,/:/host:rw:true:rslave,app.py,2,0,6,149732,fd=5(<p>pipe:[25319]) size=8029
01:03:49.381553665,poll,/:/host:rw:true:rslave,app.py,2,1,6,149732,res=0 fds=
01:03:49.381609487,poll,/:/host:rw:true:rslave,app.py,2,1,6,149732,fds=3:41 timeout=500
01:03:49.882307837,poll,/:/host:rw:true:rslave,app.py,2,1,6,149732,res=0 fds=
01:03:49.882360813,poll,/:/host:rw:true:rslave,app.py,2,1,6,149732,fds=3:41 timeout=500
