evt_time,syscall_type,container_mounts,proc_args,proc_nthreads,proc_nchilds,proc_fdopencount,proc_vmsize,evt_args
01:46:04.132629813,poll,/:/host:rw:true:rslave,app.py,2,1,6,149744,res=0 fds=
01:46:04.132689045,poll,/:/host:rw:true:rslave,app.py,2,1,6,149744,fds=3:41 timeout=500
01:46:04.633353506,poll,/:/host:rw:true:rslave,app.py,2,1,6,149744,res=0 fds=
01:46:04.633413986,poll,/:/host:rw:true:rslave,app.py,2,1,6,149744,fds=3:41 timeout=500
01:46:04.636757341,recvmsg,/:/host:rw:true:rslave,-c 4 127.0.0.1,1,0,4,6536,res=-11(EAGAIN) size=192 data=NULL tuple=NULL
01:46:04.636772970,sendmsg,/:/host:rw:true:rslave,-c 4 127.0.0.1,1,0,4,6536,fd=3(<4r>0.0.0.0:1) size=64 tuple=0.0.0.0:1->127.0.0.1:0
01:46:04.636847776,sendmsg,/:/host:rw:true:rslave,-c 4 127.0.0.1,1,0,4,6536,res=64 data=...........c....c....................... !#$%&'()*+
01:46:04.636850692,recvmsg,/:/host:rw:true:rslave,-c 4 127.0.0.1,1,0,4,6536,fd=3(<4r>127.0.0.1->127.0.0.1)
01:46:04.636856252,recvmsg,/:/host:rw:true:rslave,-c 4 127.0.0.1,1,0,4,6536,res=84 size=84 data=E..T....@......................c....c....................... !#$%&'()*+
01:46:04.636875737,write,/:/host:rw:true:rslave,-c 4 127.0.0.1,1,0,4,6536,fd=1(<p>pipe:[24499]) size=57
01:46:04.636922897,write,/:/host:rw:true:rslave,-c 4 127.0.0.1,1,0,4,6536,res=57 data=64 bytes from 127.0.0.1: icmp_seq=2 ttl=64 time=0.066 ms.
01:46:04.636928347,recvmsg,/:/host:rw:true:rslave,-c 4 127.0.0.1,1,0,4,6536,fd=3(<4r>127.0.0.1->127.0.0.1)
01:46:04.636962067,read,/:/host:rw:true:rslave,app.py,2,0,6,149744,res=57 data=64 bytes from 127.0.0.1: icmp_seq=2 ttl=64 time=0.066 ms.
01:46:04.636973478,read,/:/host:rw:true:rslave,app.py,2,0,6,149744,fd=5(<p>pipe:[24499]) size=8029
01:46:05.134070085,poll,/:/host:rw:true:rslave,app.py,2,1,6,149744,res=0 fds=
01:46:05.134126117,poll,/:/host:rw:true:rslave,app.py,2,1,6,149744,fds=3:41 timeout=500
01:46:05.634752520,poll,/:/host:rw:true:rslave,app.py,2,1,6,149744,res=0 fds=
01:46:05.634812680,poll,/:/host:rw:true:rslave,app.py,2,1,6,149744,fds=3:41 timeout=500
01:46:05.636633315,recvmsg,/:/host:rw:true:rslave,-c 4 127.0.0.1,1,0,4,6536,res=-11(EAGAIN) size=192 data=NULL tuple=NULL
01:46:05.636645426,sendmsg,/:/host:rw:true:rslave,-c 4 127.0.0.1,1,0,4,6536,fd=3(<4r>127.0.0.1->127.0.0.1) size=64 tuple=0.0.0.0:1->127.0.0.1:0
01:46:05.636697931,sendmsg,/:/host:rw:true:rslave,-c 4 127.0.0.1,1,0,4,6536,res=64 data=..=........c............................ !#$%&'()*+
01:46:05.636701458,recvmsg,/:/host:rw:true:rslave,-c 4 127.0.0.1,1,0,4,6536,fd=3(<4r>127.0.0.1->127.0.0.1)
01:46:05.636707028,recvmsg,/:/host:rw:true:rslave,-c 4 127.0.0.1,1,0,4,6536,res=84 size=84 data=E..T.p..@..6..........E........c............................ !#$%&'()*+
01:46:05.636725141,write,/:/host:rw:true:rslave,-c 4 127.0.0.1,1,0,4,6536,fd=1(<p>pipe:[24499]) size=57
01:46:05.636766766,write,/:/host:rw:true:rslave,-c 4 127.0.0.1,1,0,4,6536,res=57 data=64 bytes from 127.0.0.1: icmp_seq=3 ttl=64 time=0.046 ms.
01:46:05.636772426,recvmsg,/:/host:rw:true:rslave,-c 4 127.0.0.1,1,0,4,6536,fd=3(<4r>127.0.0.1->127.0.0.1)
01:46:05.636805180,read,/:/host:rw:true:rslave,app.py,2,0,6,149744,res=57 data=64 bytes from 127.0.0.1: icmp_seq=3 ttl=64 time=0.046 ms.
01:46:05.636811552,read,/:/host:rw:true:rslave,app.py,2,0,6,149744,fd=5(<p>pipe:[24499]) size=7972
01:46:06.135651884,poll,/:/host:rw:true:rslave,app.py,2,1,6,149744,res=0 fds=
01:46:06.135708717,poll,/:/host:rw:true:rslave,app.py,2,1,6,149744,fds=3:41 timeout=500
01:46:06.636380828,poll,/:/host:rw:true:rslave,app.py,2,1,6,149744,res=0 fds=
01:46:06.636437151,poll,/:/host:rw:true:rslave,app.py,2,1,6,149744,fds=3:41 timeout=500
01:46:06.636817942,recvmsg,/:/host:rw:true:rslave,-c 4 127.0.0.1,1,0,4,6536,res=-11(EAGAIN) size=192 data=NULL tuple=NULL
01:46:06.636830656,sendmsg,/:/host:rw:true:rslave,-c 4 127.0.0.1,1,0,4,6536,fd=3(<4r>127.0.0.1->127.0.0.1) size=64 tuple=0.0.0.0:1->127.0.0.1:0
01:46:06.636891607,sendmsg,/:/host:rw:true:rslave,-c 4 127.0.0.1,1,0,4,6536,res=64 data=...........c............................ !#$%&'()*+
01:46:06.636899972,setitimer,/:/host:rw:true:rslave,-c 4 127.0.0.1,1,0,4,6536,
